 #  SCIATRAN 2.2 (DOM, spherical mode)
 #  Height resolved air mass factors for no2
 #  Spectral range:  440.000 -  440.000
 #  The number of spectral points:    1
 #  The number of altitude levels:  51
    10.000     9.800     9.600     9.400     9.200     9.000     8.800     8.600     8.400     8.200     8.000     7.800     7.600     7.400     7.200     7.000     6.800     6.600     6.400     6.200     6.000     5.800     5.600     5.400     5.200     5.000     4.800     4.600     4.400     4.200     4.000     3.800     3.600     3.400     3.200     3.000     2.800     2.600     2.400     2.200     2.000     1.800     1.600     1.400     1.200     1.000     0.800     0.600     0.400     0.200     0.000
 
  440.0000000   0.10900826067232D+01   0.11407416688070D+01   0.12060116987483D+01   0.12899960677928D+01   0.13979232050871D+01   0.15369605518237D+01   0.17171472965472D+01   0.19602407982874D+01
 
  440.0000000   0.10962244347434D+01   0.11471482843957D+01   0.12127295966951D+01   0.12970660391187D+01   0.14053826562237D+01   0.15448434296267D+01   0.17254833809181D+01   0.19690664165650D+01
 
  440.0000000   0.11081726848329D+01   0.11596067863913D+01   0.12257874546813D+01   0.13108005140851D+01   0.14198638145529D+01   0.15601338366272D+01   0.17416363773007D+01   0.19861446277788D+01
 
  440.0000000   0.11195532230404D+01   0.11714643069850D+01   0.12382043308732D+01   0.13238464262277D+01   0.14336004517745D+01   0.15746143154008D+01   0.17569029654999D+01   0.20022419533105D+01
 
  440.0000000   0.11305509235644D+01   0.11829153452734D+01   0.12501862105265D+01   0.13364231404587D+01   0.14468273012695D+01   0.15885371214545D+01   0.17715553597247D+01   0.20176542332466D+01
 
  440.0000000   0.11413116912151D+01   0.11941133747126D+01   0.12618955982474D+01   0.13487036692155D+01   0.14597294313216D+01   0.16021010554545D+01   0.17858079933702D+01   0.20326143732877D+01
 
  440.0000000   0.11519504756566D+01   0.12051793011306D+01   0.12734605100937D+01   0.13608242972610D+01   0.14724526107864D+01   0.16154626917426D+01   0.17998297542601D+01   0.20473058142708D+01
 
  440.0000000   0.11625595813150D+01   0.12162101700472D+01   0.12849835983614D+01   0.13728942343642D+01   0.14851136128527D+01   0.16287474455281D+01   0.18137558971638D+01   0.20618753934992D+01
 
  440.0000000   0.11732158219899D+01   0.12272866816409D+01   0.12965501163995D+01   0.13850040789270D+01   0.14978092208137D+01   0.16420591693692D+01   0.18276982941822D+01   0.20764443468016D+01
 
  440.0000000   0.11839854410060D+01   0.12384784261507D+01   0.13082336507837D+01   0.13972320368245D+01   0.15106229044085D+01   0.16554872951612D+01   0.18417531398228D+01   0.20911167663579D+01
 
  440.0000000   0.11949275107776D+01   0.12498474553694D+01   0.13200998490343D+01   0.14096478730815D+01   0.15236290759761D+01   0.16691114671507D+01   0.18560060081575D+01   0.21059851376040D+01
 
  440.0000000   0.12060987511026D+01   0.12614533461302D+01   0.13322117054443D+01   0.14223185283443D+01   0.15368991702499D+01   0.16830082124928D+01   0.18705392146816D+01   0.21211385243919D+01
 
